time,open,high,low,close,tick_volume,spread,real_volume
2025-10-04 23:45:00,122027.0,122059.0,121901.0,121914.0,76,5,0
2025-10-05 00:00:00,121869.0,122140.0,121869.0,122140.0,79,5,0
2025-10-05 00:15:00,122140.0,122325.0,122095.0,122325.0,101,5,0
2025-10-05 00:30:00,122325.0,122345.0,122234.0,122317.0,104,5,0
2025-10-05 00:45:00,122317.0,122317.0,122186.0,122188.0,48,5,0
2025-10-05 01:00:00,122188.0,122228.0,122137.0,122193.0,74,5,0
2025-10-05 01:15:00,122193.0,122273.0,122192.0,122232.0,47,5,0
2025-10-05 01:30:00,122232.0,122363.0,122232.0,122290.0,62,5,0
2025-10-05 01:45:00,122290.0,122331.0,122210.0,122285.0,54,5,0
2025-10-05 02:00:00,122285.0,122290.0,122240.0,122254.0,42,5,0
2025-10-05 02:15:00,122254.0,122254.0,122212.0,122212.0,25,5,0
2025-10-05 02:30:00,122212.0,122337.0,122212.0,122337.0,51,5,0
2025-10-05 02:45:00,122337.0,122407.0,122337.0,122388.0,55,5,0
2025-10-05 03:00:00,122388.0,122407.0,122251.0,122251.0,48,5,0
2025-10-05 03:15:00,122251.0,122402.0,122251.0,122402.0,62,5,0
2025-10-05 03:30:00,122402.0,122402.0,122269.0,122269.0,55,5,0
2025-10-05 03:45:00,122269.0,122269.0,122155.0,122155.0,68,5,0
2025-10-05 04:00:00,122155.0,122304.0,122155.0,122304.0,50,5,0
2025-10-05 04:15:00,122304.0,122304.0,122134.0,122246.0,105,5,0
2025-10-05 04:30:00,122246.0,122407.0,122246.0,122388.0,61,5,0
2025-10-05 04:45:00,122388.0,122396.0,122322.0,122375.0,55,5,0
2025-10-05 05:00:00,122375.0,122396.0,122340.0,122396.0,43,5,0
2025-10-05 05:15:00,122396.0,122851.0,122376.0,122839.0,123,5,0
2025-10-05 05:30:00,122851.0,124360.0,122833.0,123670.0,1080,5,0
2025-10-05 05:45:00,123670.0,124127.0,123535.0,124029.0,436,5,0
2025-10-05 06:00:00,124029.0,124127.0,123631.0,123666.0,404,5,0
2025-10-05 06:15:00,123666.0,123833.0,123342.0,123833.0,352,5,0
2025-10-05 06:30:00,123833.0,124170.0,123833.0,124008.0,312,5,0
2025-10-05 06:45:00,124008.0,124127.0,123737.0,123779.0,262,5,0
2025-10-05 07:00:00,123774.0,124063.0,123732.0,123905.0,241,5,0
2025-10-05 07:15:00,123905.0,124064.0,123847.0,124017.0,153,5,0
2025-10-05 07:30:00,124017.0,124450.0,123991.0,124297.0,316,5,0
2025-10-05 07:45:00,124297.0,125706.0,124297.0,125170.0,1525,5,0
2025-10-05 08:00:00,125170.0,125435.0,124874.0,125186.0,545,5,0
2025-10-05 08:15:00,125196.0,125394.0,124894.0,125390.0,458,5,0
2025-10-05 08:30:00,125390.0,125390.0,125104.0,125227.0,521,5,0
2025-10-05 08:45:00,125227.0,125231.0,124960.0,125125.0,237,5,0
2025-10-05 09:00:00,125125.0,125223.0,124969.0,125079.0,168,5,0
2025-10-05 09:15:00,125079.0,125079.0,124803.0,124988.0,219,5,0
2025-10-05 09:30:00,124988.0,125071.0,124826.0,125068.0,166,5,0
2025-10-05 09:45:00,125068.0,125198.0,124966.0,124998.0,175,5,0
2025-10-05 10:00:00,124998.0,125067.0,124851.0,125010.0,185,5,0
2025-10-05 10:15:00,125010.0,125162.0,124768.0,124768.0,176,5,0
2025-10-05 10:30:00,124768.0,124860.0,124620.0,124702.0,209,5,0
2025-10-05 10:45:00,124702.0,124930.0,124683.0,124711.0,209,5,0
2025-10-05 11:00:00,124711.0,124813.0,124556.0,124645.0,184,5,0
2025-10-05 11:15:00,124645.0,124836.0,124645.0,124737.0,111,5,0
2025-10-05 11:30:00,124737.0,124763.0,124608.0,124700.0,128,5,0
2025-10-05 11:45:00,124692.0,124692.0,124568.0,124593.0,114,5,0
