time,open,high,low,close,tick_volume,spread,real_volume
2025-10-06 05:00:00,0.66064,0.66087,0.66061,0.66071,622,12,0
2025-10-06 05:15:00,0.66071,0.66077,0.66046,0.66061,440,14,0
2025-10-06 05:30:00,0.66061,0.6608,0.66052,0.66067,446,12,0
2025-10-06 05:45:00,0.66067,0.66111,0.66062,0.66081,470,13,0
2025-10-06 06:00:00,0.66081,0.66102,0.66073,0.66077,426,12,0
2025-10-06 06:15:00,0.66077,0.66099,0.66068,0.66096,392,11,0
2025-10-06 06:30:00,0.66097,0.66129,0.66084,0.66114,515,12,0
2025-10-06 06:45:00,0.66119,0.66119,0.66058,0.66075,510,13,0
2025-10-06 07:00:00,0.66075,0.66093,0.66048,0.66058,604,13,0
2025-10-06 07:15:00,0.66058,0.66062,0.66028,0.66046,488,13,0
2025-10-06 07:30:00,0.66046,0.6606,0.66032,0.66052,606,12,0
2025-10-06 07:45:00,0.66051,0.66052,0.66017,0.66021,564,10,0
2025-10-06 08:00:00,0.6602,0.66029,0.66002,0.66002,559,12,0
2025-10-06 08:15:00,0.66002,0.66025,0.65995,0.6602,394,13,0
2025-10-06 08:30:00,0.66021,0.66034,0.66009,0.66032,420,13,0
2025-10-06 08:45:00,0.66032,0.66043,0.66022,0.66042,337,13,0
2025-10-06 09:00:00,0.66043,0.66058,0.65995,0.66006,1278,11,0
2025-10-06 09:15:00,0.66005,0.66027,0.65991,0.66027,934,12,0
2025-10-06 09:30:00,0.66031,0.66057,0.66012,0.66031,1069,12,0
2025-10-06 09:45:00,0.66031,0.66094,0.66011,0.66085,1361,12,0
2025-10-06 10:00:00,0.66084,0.66163,0.66057,0.66131,1585,11,0
2025-10-06 10:15:00,0.66131,0.66151,0.66101,0.66151,1283,13,0
2025-10-06 10:30:00,0.66151,0.66172,0.6606,0.66061,2520,8,0
2025-10-06 10:45:00,0.66063,0.66074,0.66019,0.66036,2391,3,0
2025-10-06 11:00:00,0.66035,0.66055,0.6599,0.66004,2053,12,0
2025-10-06 11:15:00,0.66003,0.66006,0.65917,0.65962,1831,10,0
2025-10-06 11:30:00,0.65962,0.66016,0.6596,0.65998,1393,12,0
2025-10-06 11:45:00,0.65998,0.66015,0.65979,0.65987,844,14,0
2025-10-06 12:00:00,0.65987,0.65989,0.65894,0.65938,1058,12,0
2025-10-06 12:15:00,0.65936,0.65945,0.65917,0.65933,859,12,0
2025-10-06 12:30:00,0.65933,0.65952,0.65907,0.65908,772,10,0
2025-10-06 12:45:00,0.65908,0.65969,0.65907,0.65965,1027,13,0
2025-10-06 13:00:00,0.65966,0.65966,0.6591,0.65922,872,11,0
2025-10-06 13:15:00,0.65923,0.65929,0.65898,0.65905,856,12,0
2025-10-06 13:30:00,0.65906,0.65934,0.65899,0.65925,672,12,0
2025-10-06 13:45:00,0.65924,0.65954,0.65906,0.65938,939,11,0
2025-10-06 14:00:00,0.65938,0.65948,0.65913,0.65937,924,12,0
2025-10-06 14:15:00,0.65938,0.65971,0.65928,0.65971,744,11,0
2025-10-06 14:30:00,0.65971,0.65991,0.65966,0.65978,848,13,0
2025-10-06 14:45:00,0.65977,0.65985,0.65952,0.65972,960,12,0
2025-10-06 15:00:00,0.65971,0.66005,0.65947,0.65987,2208,12,0
2025-10-06 15:15:00,0.65988,0.66026,0.65971,0.66021,1498,11,0
2025-10-06 15:30:00,0.66021,0.66037,0.65999,0.66031,1093,13,0
2025-10-06 15:45:00,0.6603,0.66097,0.6603,0.66091,1219,11,0
2025-10-06 16:00:00,0.6609,0.66115,0.66075,0.66089,1071,12,0
2025-10-06 16:15:00,0.66089,0.66101,0.66071,0.66077,874,13,0
2025-10-06 16:30:00,0.66077,0.66166,0.66062,0.6616,1555,12,0
2025-10-06 16:45:00,0.6616,0.66184,0.6615,0.66157,1393,11,0
2025-10-06 17:00:00,0.66156,0.66196,0.66144,0.66183,1781,10,0
2025-10-06 17:15:00,0.66184,0.66195,0.66162,0.66185,1092,13,0
2025-10-06 17:30:00,0.66186,0.66191,0.66149,0.66182,1067,12,0
2025-10-06 17:45:00,0.66183,0.66199,0.66156,0.66165,2155,12,0
2025-10-06 18:00:00,0.66166,0.66195,0.66158,0.66174,1654,13,0
2025-10-06 18:15:00,0.66173,0.66183,0.66157,0.66169,841,13,0
2025-10-06 18:30:00,0.66168,0.66168,0.66149,0.66153,923,12,0
2025-10-06 18:45:00,0.66152,0.66177,0.66145,0.66171,714,12,0
2025-10-06 19:00:00,0.66172,0.6618,0.66138,0.66142,778,13,0
2025-10-06 19:15:00,0.66142,0.66152,0.66132,0.66136,591,11,0
2025-10-06 19:30:00,0.66136,0.66144,0.66122,0.66142,345,12,0
2025-10-06 19:45:00,0.66143,0.66165,0.66142,0.66164,434,13,0
2025-10-06 20:00:00,0.66165,0.66176,0.6616,0.66166,497,13,0
2025-10-06 20:15:00,0.66166,0.66181,0.66159,0.66171,436,13,0
2025-10-06 20:30:00,0.66169,0.6618,0.66159,0.66165,416,12,0
2025-10-06 20:45:00,0.66164,0.66172,0.66159,0.66169,476,13,0
2025-10-06 21:00:00,0.66169,0.66185,0.66163,0.66165,371,14,0
2025-10-06 21:15:00,0.66164,0.66181,0.66161,0.66168,383,12,0
2025-10-06 21:30:00,0.66167,0.66171,0.66153,0.66163,526,13,0
2025-10-06 21:45:00,0.66163,0.66172,0.66153,0.66168,409,12,0
2025-10-06 22:00:00,0.66169,0.66177,0.66162,0.66173,387,13,0
2025-10-06 22:15:00,0.66172,0.66175,0.66167,0.66172,251,12,0
2025-10-06 22:30:00,0.66172,0.66198,0.66169,0.66193,348,12,0
2025-10-06 22:45:00,0.66193,0.66194,0.66143,0.66149,414,13,0
2025-10-06 23:00:00,0.66149,0.66169,0.66139,0.66168,245,13,0
2025-10-06 23:15:00,0.66167,0.66182,0.66162,0.66176,142,13,0
2025-10-06 23:30:00,0.66176,0.66181,0.66172,0.66173,118,14,0
2025-10-06 23:45:00,0.66174,0.66177,0.66167,0.66167,211,14,0
2025-10-07 00:00:00,0.66074,0.6613,0.66073,0.66122,35,66,0
2025-10-07 00:15:00,0.66123,0.66143,0.66121,0.66141,35,40,0
2025-10-07 00:30:00,0.66138,0.66155,0.66138,0.66146,28,20,0
2025-10-07 00:45:00,0.66146,0.66146,0.66116,0.66122,140,18,0
2025-10-07 01:00:00,0.66122,0.66168,0.66121,0.66165,382,19,0
2025-10-07 01:15:00,0.66165,0.66191,0.66161,0.6618,1488,15,0
2025-10-07 01:30:00,0.66182,0.66182,0.6615,0.66167,267,16,0
2025-10-07 01:45:00,0.66167,0.66178,0.66159,0.66177,225,15,0
2025-10-07 02:00:00,0.66177,0.66182,0.66149,0.66155,294,14,0
2025-10-07 02:15:00,0.66158,0.66179,0.66151,0.66151,206,14,0
2025-10-07 02:30:00,0.6615,0.66178,0.66148,0.66169,248,13,0
2025-10-07 02:45:00,0.66169,0.66179,0.66146,0.66156,381,14,0
2025-10-07 03:00:00,0.66156,0.66192,0.66147,0.66161,781,13,0
2025-10-07 03:15:00,0.66161,0.66199,0.6616,0.66161,471,11,0
2025-10-07 03:30:00,0.66159,0.66162,0.66107,0.66108,432,12,0
2025-10-07 03:45:00,0.66108,0.66116,0.66071,0.66082,778,12,0
2025-10-07 04:00:00,0.66083,0.66086,0.66034,0.6607,661,12,0
2025-10-07 04:15:00,0.66072,0.66146,0.6607,0.66129,556,12,0
2025-10-07 04:30:00,0.66129,0.66129,0.66095,0.66107,544,12,0
2025-10-07 04:45:00,0.66106,0.66138,0.66104,0.66131,452,11,0
