timestamp,symbol,open,high,low,close,volume
2025-10-24 19:43:00,TSLAm,431.7,432.42,431.68,432.42,293
2025-10-24 19:43:00,MCDm,304.86,304.92,304.82,304.89,15
2025-10-27 00:01:00,US500m,6842.11,6842.68,6841.97,6842.43,94
2025-10-27 00:01:00,US30m,47531.8,47532.6,47519.4,47520.1,64
2025-10-27 00:01:00,USTECm,25591.34,25597.91,25591.33,25596.09,135
2025-10-27 00:01:00,DE30m,24323.7,24323.7,24322.0,24323.0,12
2025-10-27 00:01:00,FR40m,8239.68,8240.04,8239.66,8240.04,10
2025-10-27 00:01:00,UK100m,9673.29,9673.29,9672.45,9672.92,14
2025-10-27 00:00:00,STOXX50m,5691.01,5691.01,5689.12,5689.12,5
2025-10-27 00:01:00,AUS200m,9072.43,9074.52,9071.69,9073.51,32
2025-10-27 00:01:00,JP225m,49999.8,50040.2,49975.5,50035.2,219
2025-10-27 00:01:00,HK50m,26422.8,26424.9,26419.3,26423.3,31
2023-06-27 20:16:00,IN50m,18875.33,18875.33,18875.33,18875.33,1
2025-10-27 00:01:00,XAUUSDm,4067.559,4067.627,4062.736,4062.779,773
2025-10-27 00:01:00,XAGUSDm,48.159,48.171,48.117,48.117,45
2025-10-27 00:01:00,USOILm,61.698,61.7,61.678,61.69,29
2025-10-27 00:01:00,XNGUSDm,4.0596,4.0596,4.0596,4.0596,1
2025-10-27 00:01:00,BTCUSDm,114384.94,114498.32,114384.94,114498.32,75
2025-10-27 00:01:00,ETHUSDm,4151.31,4158.25,4151.31,4157.53,109
2025-10-27 00:01:00,XRPUSDm,2.63587,2.64001,2.63587,2.63869,58
2024-08-08 13:37:00,ADAUSDm,0.33328,0.33347,0.3323,0.33254,23
2025-10-27 00:01:00,LTCUSDm,99.35,99.54,99.35,99.54,34
2025-10-27 00:01:00,SOLUSDm,199.2405,199.4221,199.2341,199.3077,171
2025-10-27 00:01:00,EURUSDm,1.16308,1.1632,1.16302,1.16308,46
2025-10-27 00:01:00,USDJPYm,152.989,153.013,152.959,152.988,129
2025-10-27 00:01:00,GBPUSDm,1.33221,1.33236,1.3321,1.33224,64
2025-10-27 00:01:00,AUDUSDm,0.6533,0.65358,0.6533,0.65357,42
2025-10-27 00:01:00,USDCADm,1.39896,1.39896,1.39886,1.39895,21
2025-10-27 00:01:00,USDCHFm,0.796,0.79608,0.79596,0.79606,21
2025-10-27 00:01:00,USDSEKm,9.3228,9.3228,9.32113,9.32126,46
2025-10-24 19:43:00,AAPLm,263.41,263.41,263.3,263.31,37
2025-10-24 19:43:00,MSFTm,524.19,524.19,523.97,524.09,25
2025-10-24 19:43:00,GOOGLm,260.03,260.03,259.81,259.81,32
2025-10-24 19:43:00,AMZNm,224.18,224.31,224.17,224.3,83
2025-10-24 19:43:00,NVDAm,186.72,186.73,186.64,186.7,38
2025-10-24 19:43:00,FBm,737.12,737.38,737.04,737.34,34
2025-10-24 19:43:00,JPMm,300.6,300.68,300.57,300.6,25
2025-10-24 19:43:00,BACm,52.31,52.32,52.3,52.32,6
2025-10-24 19:43:00,JNJm,189.91,189.94,189.83,189.83,14
2025-10-24 19:43:00,PFEm,24.42,24.42,24.42,24.42,1
2025-10-24 19:43:00,XOMm,115.33,115.34,115.29,115.29,11
2025-10-24 19:43:00,TSLAm,431.7,432.42,431.68,432.42,293
2025-10-24 19:43:00,MCDm,304.86,304.92,304.82,304.89,15
2025-10-27 00:02:00,US500m,6842.43,6844.88,6842.26,6844.69,82
2025-10-27 00:02:00,US30m,47519.3,47527.7,47519.2,47525.2,120
2025-10-27 00:02:00,USTECm,25595.66,25609.69,25595.01,25609.33,151
2025-10-27 00:02:00,DE30m,24323.6,24329.6,24323.0,24329.6,19
2025-10-27 00:02:00,FR40m,8240.52,8242.02,8240.16,8242.02,12
2025-10-27 00:02:00,UK100m,9673.29,9674.76,9672.92,9674.76,12
2025-10-27 00:01:00,STOXX50m,5688.12,5689.01,5688.12,5689.01,2
2025-10-27 00:02:00,AUS200m,9072.67,9076.53,9072.67,9075.75,33
2025-10-27 00:02:00,JP225m,50030.8,50095.3,49996.0,50095.0,186
2025-10-27 00:02:00,HK50m,26423.2,26437.8,26423.2,26436.8,35
2023-06-27 20:16:00,IN50m,18875.33,18875.33,18875.33,18875.33,1
2025-10-27 00:02:00,XAUUSDm,4062.73,4064.272,4058.108,4059.985,652
2025-10-27 00:02:00,XAGUSDm,48.119,48.143,48.076,48.089,42
2025-10-27 00:02:00,USOILm,61.709,61.738,61.707,61.721,26
2025-10-27 00:02:00,XNGUSDm,4.0587,4.0587,4.0557,4.0566,4
2025-10-27 00:02:00,BTCUSDm,114502.13,114657.63,114502.13,114648.05,92
2025-10-27 00:02:00,ETHUSDm,4157.7,4165.14,4157.44,4162.7,105
2025-10-27 00:02:00,XRPUSDm,2.63849,2.64383,2.63849,2.64279,60
2024-08-08 13:37:00,ADAUSDm,0.33328,0.33347,0.3323,0.33254,23
2025-10-27 00:02:00,LTCUSDm,99.54,99.65,99.54,99.58,26
2025-10-27 00:02:00,SOLUSDm,199.3077,199.6259,199.2824,199.5729,148
2025-10-27 00:02:00,EURUSDm,1.16308,1.16329,1.16305,1.16322,49
2025-10-27 00:02:00,USDJPYm,152.988,152.997,152.919,152.94,128
2025-10-27 00:02:00,GBPUSDm,1.33224,1.33248,1.33222,1.33239,57
2025-10-27 00:02:00,AUDUSDm,0.65357,0.65371,0.65353,0.65363,42
2025-10-27 00:02:00,USDCADm,1.39895,1.39896,1.39881,1.39885,20
2025-10-27 00:02:00,USDCHFm,0.79606,0.79607,0.79589,0.79597,35
2025-10-27 00:02:00,USDSEKm,9.32122,9.32124,9.31761,9.32086,46
2025-10-24 19:43:00,AAPLm,263.41,263.41,263.3,263.31,37
2025-10-24 19:43:00,MSFTm,524.19,524.19,523.97,524.09,25
2025-10-24 19:43:00,GOOGLm,260.03,260.03,259.81,259.81,32
2025-10-24 19:43:00,AMZNm,224.18,224.31,224.17,224.3,83
2025-10-24 19:43:00,NVDAm,186.72,186.73,186.64,186.7,38
2025-10-24 19:43:00,FBm,737.12,737.38,737.04,737.34,34
2025-10-24 19:43:00,JPMm,300.6,300.68,300.57,300.6,25
2025-10-24 19:43:00,BACm,52.31,52.32,52.3,52.32,6
2025-10-24 19:43:00,JNJm,189.91,189.94,189.83,189.83,14
2025-10-24 19:43:00,PFEm,24.42,24.42,24.42,24.42,1
2025-10-24 19:43:00,XOMm,115.33,115.34,115.29,115.29,11
2025-10-24 19:43:00,TSLAm,431.7,432.42,431.68,432.42,293
2025-10-24 19:43:00,MCDm,304.86,304.92,304.82,304.89,15
2025-10-27 00:03:00,US500m,6844.51,6845.15,6844.03,6844.98,54
2025-10-27 00:03:00,US30m,47524.4,47525.6,47517.4,47520.7,93
2025-10-27 00:03:00,USTECm,25609.25,25612.57,25606.56,25611.74,140
2025-10-27 00:03:00,DE30m,24329.0,24330.6,24329.0,24330.6,17
2025-10-27 00:03:00,FR40m,8241.66,8242.52,8241.66,8242.52,9
2025-10-27 00:03:00,UK100m,9674.42,9675.78,9674.42,9675.42,27
2025-10-27 00:03:00,STOXX50m,5692.0,5692.0,5692.0,5692.0,1
2025-10-27 00:03:00,AUS200m,9075.56,9079.52,9075.53,9077.63,38
2025-10-27 00:03:00,JP225m,50093.0,50155.2,50078.2,50143.1,311
2025-10-27 00:03:00,HK50m,26436.2,26441.2,26436.2,26441.2,36
2023-06-27 20:16:00,IN50m,18875.33,18875.33,18875.33,18875.33,1
2025-10-27 00:03:00,XAUUSDm,4059.937,4064.364,4059.66,4064.364,578
2025-10-27 00:03:00,XAGUSDm,48.087,48.101,48.058,48.096,43
2025-10-27 00:03:00,USOILm,61.722,61.749,61.722,61.747,21
2025-10-27 00:03:00,XNGUSDm,4.0572,4.0592,4.0572,4.0592,3
2025-10-27 00:03:00,BTCUSDm,114652.16,114706.31,114631.89,114691.25,78
2025-10-27 00:03:00,ETHUSDm,4162.47,4165.02,4162.28,4163.86,87
2025-10-27 00:03:00,XRPUSDm,2.64292,2.64718,2.64292,2.64574,59
2024-08-08 13:37:00,ADAUSDm,0.33328,0.33347,0.3323,0.33254,23
2025-10-27 00:03:00,LTCUSDm,99.57,99.66,99.57,99.6,33
2025-10-27 00:03:00,SOLUSDm,199.5664,199.714,199.4774,199.7001,109
2025-10-27 00:03:00,EURUSDm,1.16322,1.16326,1.16316,1.16318,28
2025-10-27 00:03:00,USDJPYm,152.94,152.975,152.92,152.973,87
2025-10-27 00:03:00,GBPUSDm,1.33239,1.33245,1.33232,1.33235,34
2025-10-27 00:03:00,AUDUSDm,0.65364,0.65365,0.65361,0.65362,14
2025-10-27 00:03:00,USDCADm,1.39885,1.39885,1.39878,1.3988,18
2025-10-27 00:03:00,USDCHFm,0.79598,0.79604,0.79596,0.79604,12
2025-10-27 00:03:00,USDSEKm,9.32084,9.32144,9.32041,9.32144,45
2025-10-24 19:43:00,AAPLm,263.41,263.41,263.3,263.31,37
2025-10-24 19:43:00,MSFTm,524.19,524.19,523.97,524.09,25
